location,año,total_vaccinations_per_hundred
Colombia,2021,9.61
Colombia,2021,9.86
Colombia,2021,10.06
Colombia,2021,
Colombia,2021,
Colombia,2021,
Colombia,2021,
Colombia,2021,11.75
Colombia,2021,
Colombia,2021,
Colombia,2021,12.49
Colombia,2021,12.86
Colombia,2021,13.21
Colombia,2021,13.58
Colombia,2021,
Colombia,2021,14.22
Colombia,2021,14.38
Colombia,2021,14.53
Colombia,2021,14.88
Colombia,2021,15.16
Colombia,2021,15.44
Colombia,2021,
Colombia,2021,15.88
Colombia,2021,16.01
Colombia,2021,16.24
Colombia,2021,16.6
Colombia,2021,17.05
Colombia,2021,
Colombia,2021,
Colombia,2021,18.62
Colombia,2021,18.94
Colombia,2021,19.46
Colombia,2021,20.02
Colombia,2021,20.62
Colombia,2021,21.17
Colombia,2021,21.68
Colombia,2021,22.14
Colombia,2021,22.39
Colombia,2021,22.62
Colombia,2021,23.09
Colombia,2021,23.53
Colombia,2021,
Colombia,2021,24.5
Colombia,2021,24.9
Colombia,2021,25.11
Colombia,2021,25.38
Colombia,2021,
Colombia,2021,
Colombia,2021,27.11
Colombia,2021,
Colombia,2021,28.39
Colombia,2021,28.83
Colombia,2021,29.49
Colombia,2021,30.23
Colombia,2021,30.92
Colombia,2021,31.55
Colombia,2021,32.18
Colombia,2021,32.82
Colombia,2021,33.21
Colombia,2021,33.87
Colombia,2021,34.59
Colombia,2021,35.24
Colombia,2021,35.81
Colombia,2021,36.35
Colombia,2021,36.85
Colombia,2021,37.14
Colombia,2021,37.47
Colombia,2021,
Colombia,2021,38.94
Colombia,2021,
Colombia,2021,
Colombia,2021,39.72
Colombia,2021,41.72
Colombia,2021,42.24
Colombia,2021,
Colombia,2021,43.61
Colombia,2021,44.23
Colombia,2021,
Colombia,2021,45.28
Colombia,2021,45.56
Colombia,2021,45.94
Colombia,2021,46.27
Colombia,2021,
Colombia,2021,47.3
Colombia,2021,47.86
Colombia,2021,
Colombia,2021,48.87
Colombia,2021,49.43
Colombia,2021,
Colombia,2021,50.48
Colombia,2021,51.11
Colombia,2021,
Colombia,2021,53.06
Colombia,2021,53.5
Colombia,2021,54.27
Colombia,2021,55.15
Colombia,2021,55.93
Colombia,2021,56.71
Colombia,2021,
Colombia,2021,58.3
Colombia,2021,58.56
Colombia,2021,59.07
Colombia,2021,59.54
Colombia,2021,60.05
Colombia,2021,60.49
Colombia,2021,60.83
Colombia,2021,61.24
Colombia,2021,61.43
Colombia,2021,
Colombia,2021,62.06
Colombia,2021,62.58
Colombia,2021,63.12
Colombia,2021,63.63
Colombia,2021,64.11
Colombia,2021,64.4
Colombia,2021,64.96
Colombia,2021,65.47
Colombia,2021,66.02
Colombia,2021,
Colombia,2021,67.1
Colombia,2021,67.61
Colombia,2021,67.8
Colombia,2021,68.16
Colombia,2021,68.52
Colombia,2021,
Colombia,2021,68.92
Colombia,2021,69.57
Colombia,2021,69.85
Colombia,2021,
Colombia,2021,
Colombia,2021,
Colombia,2021,
Colombia,2021,71.39
Colombia,2021,71.99
Colombia,2021,
Colombia,2021,72.18
Colombia,2021,72.54
Colombia,2021,72.93
Colombia,2021,73.26
Colombia,2021,
Colombia,2021,73.89
Colombia,2021,74.11
Colombia,2021,74.25
Colombia,2021,74.57
Colombia,2021,
Colombia,2021,75.29
Colombia,2021,75.7
Colombia,2021,
Colombia,2021,76.36
Colombia,2021,76.94
Colombia,2021,77.43
Colombia,2021,
Colombia,2021,77.89
Colombia,2021,
Colombia,2021,79.23
Colombia,2021,
Colombia,2021,
Colombia,2021,80.05
Colombia,2021,
Colombia,2021,81.04
Colombia,2021,81.64
Colombia,2021,82.19
Colombia,2021,82.67
Colombia,2021,82.91
Colombia,2021,83.5
Colombia,2021,84.07
Colombia,2021,84.59
Colombia,2021,85.09
Colombia,2021,85.5
Colombia,2021,
Colombia,2021,86.09
Colombia,2021,86.23
Colombia,2021,
Colombia,2021,
Colombia,2021,
Colombia,2021,88.07
Colombia,2021,88.44
Colombia,2021,88.69
Colombia,2021,89.11
Colombia,2021,89.55
Colombia,2021,90.02
Colombia,2021,90.47
Colombia,2021,
Colombia,2021,91.16
Colombia,2021,91.38
Colombia,2021,
Colombia,2021,92.08
Colombia,2021,92.65
Colombia,2021,93.3
Colombia,2021,
Colombia,2021,94.7
Colombia,2021,95.12
Colombia,2021,95.82
Colombia,2021,
Colombia,2021,97.42
Colombia,2021,98.15
Colombia,2021,98.92
Colombia,2021,
Colombia,2021,99.9
Colombia,2021,100.16
Colombia,2021,100.86
Colombia,2021,101.7
Colombia,2021,102.52
Colombia,2021,103.34
Colombia,2021,104.07
Colombia,2021,104.44
Colombia,2021,105.21
Colombia,2021,105.99
Colombia,2021,106.78
Colombia,2021,
Colombia,2021,108.34
Colombia,2021,108.95
Colombia,2021,109.31
Colombia,2021,110.05
Colombia,2021,110.89
Colombia,2021,112.3
Colombia,2021,
Colombia,2021,112.95
Colombia,2021,
Colombia,2021,113.82
Colombia,2021,114.41
Colombia,2021,114.92
Colombia,2021,
Colombia,2021,115.74
Colombia,2021,116.41
Colombia,2021,116.88
Colombia,2021,117.17
Colombia,2021,117.76
Colombia,2021,118.37
Colombia,2021,118.99
Colombia,2021,
Colombia,2021,120.13
Colombia,2021,120.53
Colombia,2021,120.75
Colombia,2021,
Colombia,2021,
Colombia,2021,122.32
Colombia,2021,
Colombia,2021,122.81
Colombia,2021,
Colombia,2021,122.9
Colombia,2021,123.36
Colombia,2021,
Colombia,2021,124.24
Colombia,2021,124.6
Colombia,2021,124.71
Colombia,2022,
Colombia,2022,124.8
Colombia,2022,125.28
Colombia,2022,125.83
Colombia,2022,126.39
Colombia,2022,127.03
Colombia,2022,
Colombia,2022,128.05
Colombia,2022,128.28
Colombia,2022,128.48
Colombia,2022,129.04
Colombia,2022,129.68
Colombia,2022,130.31
Colombia,2022,130.9
Colombia,2022,131.39
Colombia,2022,
Colombia,2022,132.24
Colombia,2022,132.78
Colombia,2022,133.36
Colombia,2022,
Colombia,2022,134.54
Colombia,2022,
Colombia,2022,135.15
Colombia,2022,135.62
Colombia,2022,136.09
Colombia,2022,
Colombia,2022,137.04
Colombia,2022,137.49
Colombia,2022,138.02
Colombia,2022,138.22
Colombia,2022,138.66
Colombia,2022,139.09
Colombia,2022,139.98
Colombia,2022,
Colombia,2022,140.58
Colombia,2022,140.98
Colombia,2022,141.35
Colombia,2022,141.78
Colombia,2022,142.23
Colombia,2022,142.74
Colombia,2022,143.21
Colombia,2022,143.74
Colombia,2022,144.13
Colombia,2022,144.3
Colombia,2022,144.75
Colombia,2022,145.2
Colombia,2022,145.61
Colombia,2022,145.99
Colombia,2022,
Colombia,2022,146.44
Colombia,2022,146.88
Colombia,2022,147.22
Colombia,2022,147.58
Colombia,2022,147.92
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,149.7
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,151.18
Colombia,2022,
Colombia,2022,151.68
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,152.72
Colombia,2022,
Colombia,2022,153.16
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,154.65
Colombia,2022,
Colombia,2022,
Colombia,2022,155.24
Colombia,2022,155.32
Colombia,2022,155.47
Colombia,2022,155.66
Colombia,2022,155.86
Colombia,2022,
Colombia,2022,
Colombia,2022,156.4
Colombia,2022,156.46
Colombia,2022,156.65
Colombia,2022,156.82
Colombia,2022,156.98
Colombia,2022,157.15
Colombia,2022,157.31
Colombia,2022,
Colombia,2022,157.5
Colombia,2022,157.67
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,158.01
Colombia,2022,158.04
Colombia,2022,
Colombia,2022,158.2
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,158.93
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,159.7
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,161.13
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,162.87
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,164.15
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,165.34
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,166.15
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,166.7
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,167.87
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,168.81
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,171.03
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,171.6
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,171.8
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,171.97
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,172.17
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,172.38
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,172.78
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,173.09
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
Colombia,2022,
